url,fecha,handle,partido_antes,direccion_antes,partido_ahora,direccion_ahora,conf,motivo,texto
https://x.com/eldiarioes/status/1990380600406966506,2025-11-17,@eldiarioes,varios,neutro,PP,perjudica,0.9,Recoge duras acusaciones e insultos contra Mazón por la DANA.,"🗣️""Yo no era el que tenía que activar la alerta""
🗣️""Yo tampoco""
🗣️""¡Qué dice! La madre que... Es usted un inútil, un mentiroso, un incapaz, un miserable y ojalá pague con cárcel""

🔴Rifirrafe entre Mazón y Rufián en el Congreso https://t.co/VxJMKGCQ0d https://t.co/0D00dkLMXJ"
https://x.com/eldiarioes/status/2095441742916984897,2026-09-03,@eldiarioes,PSOE,beneficia,varios,perjudica,0.7,Acusación contra la derecha y ultraderecha de conspirar contra el Gobierno.,"🔴 Rufián: ""Yo acuso a Marruecos de enviar a 80.000 personas a su frontera para cargarse al Gobierno de España con la colaboración de Washington, de Tel Aviv y, sí, de la derecha y de la ultraderecha española"" https://t.co/HtymcDD54U https://t.co/6mUdDpPnRJ"
https://x.com/elmundoes/status/2088659834887430638,2026-08-15,@elmundoes,PSOE,perjudica,ninguno,neutro,0.9,Datos policiales sobre delitos en Ceuta sin mención a partidos políticos.,La Guardia Civil confirma 15 violaciones en Ceuta desde la entrada masiva y un detenido con delitos por terrorismo https://t.co/tfAJof8Qio
https://x.com/La_SER/status/2059328736462274683,2026-05-26,@La_SER,PP,perjudica,varios,perjudica,0.9,compromete a gobiernos autonómicos del PP y al entorno de Zapatero.,"🔴 ÚLTIMA HORA | Un informe de la Agencia Tributaria constata que los gobiernos de Ayuso y Moreno Bonilla fueron clientes de las empresas del amigo de Zapatero

Informa @MACamposP, @isabelvega,  @JaviBanuelos y @pedrojimenezg 
https://t.co/hC8vRaODK5 https://t.co/pFugG7tCYT"
https://x.com/europapress/status/2021529683729465744,2026-02-11,@europapress,varios,perjudica,PSOE,beneficia,0.7,Rufián defiende a Zapatero desvinculándolo de la lista de Epstein.,"#EnDirecto | Rufián menciona el caso de Jeffrey Epstein: ""Ya nadie bombardea lanchas en el Caribe, ¿no? ¿Ya no hay narcos? El Cártel de los Soles era mentira, pero la lista de Epstein no es mentira y hay algún expresidente. Y no es Zapatero"" https://t.co/6iWT5Yo6BO"
https://x.com/La_SER/status/2029489678508777849,2026-03-05,@La_SER,varios,perjudica,PP,perjudica,0.7,Bergerot acusa a Ayuso de arrastrarse ante una potencia extranjera.,"🎥 Bergerot, a Ayuso: ""Si tanto le gusta la guerra, váyase usted con Abascal, porque hasta ahora, lo único que hemos visto es arrastrarse ante una potencia extranjera en contra de los intereses nacionales de España""

https://t.co/kgxVq47Vlk https://t.co/UHWfSA4gPI"
https://x.com/elmundoes/status/2057051013081702799,2026-05-20,@elmundoes,varios,perjudica,PSOE,perjudica,0.7,Difunde una dura intervención de Álvarez de Toledo contra Zapatero.,El aplaudido repaso a la trayectoria de Zapatero de Cayetana Álvarez de Toledo https://t.co/eo1JKwQyb0
https://x.com/elmundoes/status/2013933648345444423,2026-01-21,@elmundoes,PSOE,perjudica,ninguno,neutro,0.9,Crítica genérica a los políticos sin señalar a un partido concreto.,"El familiar de una víctima del accidente de tren de Adamuz carga contra los políticos: “Vienen aquí, se hacen la foto y se van y no vuelves a saber nada de ellos” https://t.co/YyuPOg74DM"
https://x.com/voz_populi/status/2097618457353150665,2026-09-09,@voz_populi,Sumar,perjudica,ninguno,neutro,0.9,"Crítica dirigida a Irene Montero, perteneciente a Podemos.","💥 ""¡Quiero volver sola y borracha a mi casa Irene Montero!¿Por qué no puedo? Tengo miedo y no es subjetivo. Deberíais estar todos presos""

Una vecina de Ceuta estalla por la situación que están viviendo tras las invasiones de los días 30 y 31 de julio 

https://t.co/Wyp3Uz1UqO"
https://x.com/eldiarioes/status/1971173429811597803,2025-09-25,@eldiarioes,PSOE,beneficia,Vox,perjudica,0.9,Critica a Vox por su postura revisionista sobre el franquismo.,‼️El presidente de RTVE planta cara a los ataques de Vox: “No estamos para blanquear ni exaltar el franquismo” https://t.co/v2LXcijz0k https://t.co/o5ZAS1dbM5
